epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,326.509,1.53504,1.61084,1.05945,0.45149,0.25758,0.24987,0.13476,1.44317,1.02054,1.00507,0.00333029,0.00333029,0.00333029
2,640.741,1.47014,1.12513,1.03031,0.50253,0.27323,0.26566,0.13611,1.46891,1.03284,1.01141,0.00653168,0.00653168,0.00653168
3,954.451,1.48892,1.07237,1.03742,0.37671,0.26481,0.24341,0.12415,1.50346,1.06336,1.02634,0.00960107,0.00960107,0.00960107
4,1267.8,1.47174,1.01358,1.03408,0.42262,0.29015,0.28602,0.15121,1.41574,0.92792,1.00098,0.009406,0.009406,0.009406
5,1580.75,1.43204,0.95896,1.01886,0.46593,0.30666,0.31988,0.16936,1.38467,0.87758,0.98522,0.009208,0.009208,0.009208
6,1893.68,1.41045,0.93223,1.01107,0.47053,0.3448,0.34983,0.18683,1.35534,0.83501,0.97727,0.00901,0.00901,0.00901
7,2206.51,1.39554,0.91168,1.00565,0.49023,0.33874,0.35766,0.19443,1.33791,0.82085,0.97181,0.008812,0.008812,0.008812
8,2519.13,1.38411,0.89839,1.00119,0.61017,0.35012,0.37621,0.20448,1.32766,0.79843,0.96533,0.008614,0.008614,0.008614
9,2832.06,1.37626,0.88823,0.99794,0.61774,0.35628,0.38461,0.20992,1.31556,0.78605,0.96211,0.008416,0.008416,0.008416
10,3144.58,1.36907,0.88076,0.99583,0.62765,0.36225,0.39238,0.21462,1.30816,0.77786,0.95974,0.008218,0.008218,0.008218
11,3457.55,1.36408,0.87339,0.99325,0.62184,0.36896,0.39559,0.21805,1.30319,0.76988,0.95721,0.00802,0.00802,0.00802
12,3770.4,1.35787,0.86589,0.9909,0.63398,0.36703,0.40225,0.22145,1.29875,0.76537,0.95496,0.007822,0.007822,0.007822
13,4082.99,1.35198,0.85975,0.98929,0.64255,0.37071,0.40654,0.22369,1.29563,0.76118,0.95491,0.007624,0.007624,0.007624
14,4395.66,1.35137,0.85751,0.98813,0.65024,0.37134,0.40827,0.22574,1.29364,0.75729,0.95368,0.007426,0.007426,0.007426
15,4708.43,1.34611,0.8514,0.98638,0.6475,0.37117,0.40915,0.22669,1.29172,0.7549,0.95262,0.007228,0.007228,0.007228
16,5021.08,1.34229,0.84778,0.98508,0.64659,0.37301,0.41083,0.22761,1.29015,0.75325,0.95199,0.00703,0.00703,0.00703
17,5333.57,1.33903,0.84378,0.98436,0.64882,0.37436,0.41229,0.22811,1.28893,0.7516,0.95151,0.006832,0.006832,0.006832
18,5646.3,1.33653,0.84105,0.98307,0.64666,0.37582,0.41363,0.22899,1.28791,0.75028,0.95114,0.006634,0.006634,0.006634
19,5959.43,1.33417,0.83567,0.98155,0.64733,0.37937,0.41547,0.22996,1.28691,0.74913,0.95084,0.006436,0.006436,0.006436
20,6272.36,1.33078,0.83296,0.98071,0.64993,0.37886,0.41664,0.23069,1.28613,0.74806,0.95054,0.006238,0.006238,0.006238
21,6585.25,1.32946,0.83224,0.98038,0.64691,0.38241,0.41751,0.23115,1.28521,0.74709,0.95014,0.00604,0.00604,0.00604
22,6897.57,1.32719,0.82911,0.97851,0.64074,0.38604,0.41833,0.23185,1.28453,0.74616,0.9497,0.005842,0.005842,0.005842
23,7210.32,1.32492,0.8257,0.97705,0.64017,0.38623,0.41953,0.23247,1.28359,0.74491,0.94925,0.005644,0.005644,0.005644
24,7522.97,1.32112,0.82143,0.97765,0.64206,0.38488,0.41984,0.23312,1.28294,0.74394,0.94899,0.005446,0.005446,0.005446
25,7835.96,1.31934,0.82097,0.97583,0.64357,0.38486,0.42041,0.23363,1.28192,0.74298,0.94854,0.005248,0.005248,0.005248
26,8148.76,1.31874,0.81944,0.97556,0.64773,0.38447,0.42094,0.23432,1.28123,0.74194,0.94811,0.00505,0.00505,0.00505
27,8461.32,1.31595,0.81477,0.97461,0.64646,0.38731,0.42213,0.2351,1.28059,0.7409,0.94774,0.004852,0.004852,0.004852
28,8774.39,1.31235,0.81262,0.97324,0.64915,0.38669,0.42283,0.2356,1.27994,0.74005,0.94736,0.004654,0.004654,0.004654
29,9087.3,1.31096,0.8103,0.97279,0.65005,0.38771,0.4236,0.2363,1.27931,0.7391,0.94701,0.004456,0.004456,0.004456
30,9400.01,1.3083,0.80801,0.97206,0.65012,0.38834,0.42489,0.23691,1.27853,0.73824,0.94662,0.004258,0.004258,0.004258
31,9712.83,1.30521,0.80443,0.97069,0.64862,0.38978,0.42549,0.23742,1.2778,0.73744,0.94617,0.00406,0.00406,0.00406
32,10025.5,1.30352,0.80126,0.97015,0.65308,0.38869,0.4258,0.23769,1.27711,0.73665,0.94574,0.003862,0.003862,0.003862
33,10338.1,1.30056,0.79871,0.96901,0.65299,0.38856,0.42681,0.23826,1.27634,0.73582,0.94531,0.003664,0.003664,0.003664
